"IdSensore","NomeTipoSensore","UnitaMisura","Idstazione","NomeStazione","Quota","Provincia","Comune","Storico","DataStart","DataStop","Utm_Nord","UTM_Est","lat","lng","Location"
"20032","Ossidi di Azoto","µg/m³","693","Sannazzaro de' Burgondi v.Traversi","85","PV","Sannazzaro de' Burgondi","N","24/10/2013",,"4994371","492461","45.10277464","8.90418742","POINT (8.90418742 45.10277464)"
"10176","Particelle sospese PM2.5","µg/m³","703","Schivenoglia v. Malpasso",,"MN","Schivenoglia","N","13/12/2006",,"4986922","663580","45.01688067","11.07609728","POINT (11.07609728 45.01688067)"
"5598","Biossido di Azoto","µg/m³","595","Filago v.Don Milani","190","BG","Filago","N","06/03/1992",,"5053519","543342","45.63387247","9.55609572","POINT (9.55609572 45.63387247)"
"17286","Biossido di Azoto","µg/m³","1374","Monza Parco","181","MB","Monza","N","01/05/2013",,"5049780","521452","45.603072","9.276156","POINT (9.276156 45.603072)"
"6280","Ossidi di Azoto","µg/m³","604","Tavazzano con Villavesco v.Cascina Bagnolo","85","LO","Tavazzano con Villavesco","N","13/01/2000",,"5019734","532492","45.33036444","9.41464375","POINT (9.41464375 45.33036444)"
"20358","Particelle sospese PM2.5","µg/m³","504","Sesto San Giovanni v. Cesare da Sesto","139","MI","Sesto San Giovanni","N","01/01/2017",,"5042386","518435","45.53476819","9.23610903","POINT (9.23610903 45.53476819)"
"10438","Particelle sospese PM2.5","µg/m³","1264","Sondrio v.Paribelli","290","SO","Sondrio","N","11/11/2008",,"5113073","567873","46.16785664","9.87921169","POINT (9.87921169 46.16785664)"
"5623","Biossido di Zolfo","µg/m³","610","Cassano d'Adda v.le delle Rimembranze","141","MI","Cassano d'Adda","S","18/09/1980","27/10/2005","5043871","537669","45.54735761","9.48256958","POINT (9.48256958 45.54735761)"
"12577","Particelle sospese PM2.5","µg/m³","627","Cremona P.zza Cadorna","39","CR","Cremona","N","01/01/2012",,"4998110","579872","45.13195042","10.01574064","POINT (10.01574064 45.13195042)"
"9995","Monossido di Carbonio","mg/m³","682","Ferrera Erbognone ENI","88","PV","Ferrera Erbognone","N","21/01/2006",,"4995567","490094","45.11351117","8.87407772","POINT (8.87407772 45.11351117)"
"9891","PM10 (SM2005)","µg/m³","552","Varese v.Vidoletti","425","VA","Varese","S","01/05/2006","01/04/2010","5075945","484773","45.83690178","8.80393513","POINT (8.80393513 45.83690178)"
"6274","Ossidi di Azoto","µg/m³","598","San Rocco al Porto v.Matteotti","50","LO","San Rocco al Porto","N","24/01/2002",,"4992297","555154","45.08199189","9.70079278","POINT (9.70079278 45.08199189)"
"6258","Ossidi di Azoto","µg/m³","578","Varenna v.Polvani","220","LC","Varenna","S","01/01/1991","07/02/2008","5095134","522088","46.00942731","9.28531411","POINT (9.28531411 46.00942731)"
"9917","Ossidi di Azoto","µg/m³","663","Mantova v.Ariosto","18","MN","Mantova","N","05/06/2004",,"5000669","641770","45.14526864","10.80333489","POINT (10.80333489 45.14526864)"
"5560","Biossido di Azoto","µg/m³","557","Lonate Pozzolo v.Veneto","204","VA","Lonate Pozzolo","S","05/12/1996","30/07/2018","5048975","479783","45.59402776","8.74080297","POINT (8.74080297 45.59402776)"
"5549","Biossido di Azoto","µg/m³","546","Magenta v. F. Turati","137","MI","Magenta","N","22/04/1995",,"5034328","490635","45.46242074","8.88021388","POINT (8.88021388 45.46242074)"
"5739","Ozono","µg/m³","571","Bormio v.Monte Braulio","1225","SO","Bormio","N","29/05/1996",,"5147136","605598","46.46952397","10.37543275","POINT (10.37543275 46.46952397)"
"5745","Ozono","µg/m³","556","Gallarate  P.zza S.Lorenzo","240","VA","Gallarate","S","30/08/1991","01/01/2018","5056010","484229","45.65746297","8.79757739","POINT (8.79757739 45.65746297)"
"10580","Biossido di Zolfo","µg/m³","627","Cremona P.zza Cadorna","39","CR","Cremona","N","01/09/2010",,"4998110","579872","45.13195042","10.01574064","POINT (10.01574064 45.13195042)"
"6910","PM10 (SM2005)","µg/m³","542","Meda v. Gagarin","222","MB","Meda","N","06/02/1998",,"5056480","512203","45.660992","9.160225","POINT (9.160225 45.660992)"
"10333","Ossidi di Azoto","µg/m³","709","Vigevano v.Valletta","109","PV","Vigevano","N","08/08/2007",,"5016690","487833","45.30361483","8.84480578","POINT (8.84480578 45.30361483)"
"10507","Biossido di Azoto","µg/m³","1269","Dalmine v.Verdi","207","BG","Dalmine","N","12/02/2010",,"5055304","546847","45.64971","9.60123469","POINT (9.60123469 45.64971)"
"10168","Biossido di Zolfo","µg/m³","703","Schivenoglia v. Malpasso",,"MN","Schivenoglia","N","13/12/2006",,"4986922","663580","45.01688067","11.07609728","POINT (11.07609728 45.01688067)"
"10291","Ammoniaca","µg/m³","681","Moggio Loc. Penscei","1194","LC","Moggio","S","17/03/2007","05/03/2021","5084478","538586","45.91279097","9.49754261","POINT (9.49754261 45.91279097)"
"9740","PM10 (SM2005)","µg/m³","604","Tavazzano con Villavesco v.Cascina Bagnolo","85","LO","Tavazzano con Villavesco","N","05/04/2005",,"5019734","532492","45.33036444","9.41464375","POINT (9.41464375 45.33036444)"
"5624","Biossido di Zolfo","µg/m³","510","Inzago v.le Gramsci","138","MI","Inzago","S","14/12/1989","19/02/2010","5043030","538012","45.53976956","9.48689669","POINT (9.48689669 45.53976956)"
"6626","Particolato Totale Sospeso","µg/m³","575","Nibionno v.della Chiesa","310","LC","Nibionno","S","17/02/1991","28/12/1999","5066429","520613","45.75111892","9.26502439","POINT (9.26502439 45.75111892)"
"12670","Piombo","ng/m³","703","Schivenoglia v. Malpasso",,"MN","Schivenoglia","N","23/02/2008",,"4986922","663580","45.01688067","11.07609728","POINT (11.07609728 45.01688067)"
"6308","Ossidi di Azoto","µg/m³","540","Garbagnate Milanese v. Villoresi","175","MI","Garbagnate Milanese","S","11/12/1992","30/07/2018","5046467","506105","45.57171961","9.07824492","POINT (9.07824492 45.57171961)"
"6234","Ossidi di Azoto","µg/m³","564","Erba v. Battisti","279","CO","Erba","S","13/06/2009","11/07/2024","5072803","517232","45.8085738","9.2217792","POINT (9.2217792 45.8085738)"
"6594","Biossido di Azoto","µg/m³","613","Spino d'Adda SP1","80","CR","Spino d'Adda","S","13/01/2000","13/04/2006","5026365","538310","45.3897555","9.48941425","POINT (9.48941425 45.3897555)"
"12603","Cadmio","ng/m³","655","Darfo Boario Terme v. De Amicis","221","BS","Darfo Boario Terme","S","18/04/2008","31/12/2023","5080789","591371","45.87460256","10.17736553","POINT (10.17736553 45.87460256)"
"5685","Biossido di Zolfo","µg/m³","576","Merate v. Madonna di Loreto","279","LC","Merate","S","17/02/1991","30/07/2003","5060569","531623","45.69795956","9.40619194","POINT (9.40619194 45.69795956)"
"5596","Biossido di Azoto","µg/m³","593","Ciserano c.so Europa","159","BG","Ciserano","S","30/11/1994","30/07/2018","5048846","547278","45.59155664","9.60613797","POINT (9.60613797 45.59155664)"
"5516","Biossido di Azoto","µg/m³","513","Trezzo sull'Adda v.Nenni","199","MI","Trezzo sull'Adda","S","22/02/2001","01/01/2017","5051253","539618","45.61370028","9.508134","POINT (9.508134 45.61370028)"
"10355","Monossido di Carbonio","mg/m³","516","Robecchetto con Induno v. Pertini","135","MI","Robecchetto con Induno","S","28/02/2007","06/06/2023","5040503","481768","45.51782742","8.76656744","POINT (8.76656744 45.51782742)"
"6606","Particolato Totale Sospeso","µg/m³","591","Seriate v. Garibaldi","256","BG","Seriate","S","20/11/1991","27/01/2000","5059449","555672","45.68636206","9.71495853","POINT (9.71495853 45.68636206)"
"5839","Monossido di Carbonio","mg/m³","507","Villasanta v. A. Volta","176","MB","Villasanta","S","14/02/1990","22/09/2010","5050610","523948","45.60862236","9.30711961","POINT (9.30711961 45.60862236)"
"5654","Biossido di Zolfo","µg/m³","556","Gallarate  P.zza S.Lorenzo","240","VA","Gallarate","S","25/06/1991","26/03/2001","5056010","484229","45.65746297","8.79757739","POINT (8.79757739 45.65746297)"
"12581","Ozono","µg/m³","1303","Cremona v.Gerre Borghi","36","CR","Cremona","S","01/01/2012","01/01/2018","4995675","584111","45.10954275","10.06924181","POINT (10.06924181 45.10954275)"
"5712","Ozono","µg/m³","510","Inzago v.le Gramsci","138","MI","Inzago","S","24/02/2001","01/01/2018","5043030","538012","45.53976956","9.48689669","POINT (9.48689669 45.53976956)"
"5852","Monossido di Carbonio","mg/m³","553","Saronno v.Marconi","211","VA","Saronno","S","15/06/1993","04/01/2012","5052270","502902","45.62397317","9.03723114","POINT (9.03723114 45.62397317)"
"20488","Particelle sospese PM2.5","µg/m³","564","Erba v. Battisti","279","CO","Erba","S","22/10/2020","11/07/2024","5072803","517232","45.8085738","9.2217792","POINT (9.2217792 45.8085738)"
"6937","PM10 (SM2005)","µg/m³","597","Lallio v. Sforzatica","212","BG","Lallio","S","24/05/2000","01/01/2017","5056421","548190","45.65967114","9.61858011","POINT (9.61858011 45.65967114)"
"12585","PM10 (SM2005)","µg/m³","1303","Cremona v.Gerre Borghi","36","CR","Cremona","S","01/01/2012","01/01/2017","4995675","584111","45.10954275","10.06924181","POINT (10.06924181 45.10954275)"
