IdSensore,NomeTipoSensore,Idstazione,NomeStazione,Provincia,Comune,lat,lng
6879,Monossido di Carbonio,664,Mantova p.zza Gramsci,MN,Mantova,45.15175186,10.78141717
5835,Monossido di Carbonio,504,Sesto San Giovanni v. Cesare da Sesto,MI,Sesto San Giovanni,45.53476819,9.23610903
12028,PM10 (SM2005),642,Pavia v. Folperti,PV,Pavia,45.19468231,9.16464919
9961,PM10 (SM2005),669,Brescia Villaggio Sereno,BS,Brescia,45.51306214,10.19190606
12597,Cadmio,609,Casirate d'Adda v. Cimitero,BG,Casirate d'Adda,45.49822794,9.55624181
6232,Ossidi di Azoto,561,Como v.Cattaneo,CO,Como,45.81504217,9.06697886
6927,PM10 (SM2005),574,Lecco v. Amendola,LC,Lecco,45.85019631,9.39558125
9859,Monossido di Carbonio,673,Voghera v.Pozzoni,PV,Voghera,44.99955481,9.00844961
5555,Biossido di Azoto,552,Varese v.Vidoletti,VA,Varese,45.83690178,8.80393513
20442,Monossido di Azoto,681,Moggio Loc. Penscei,LC,Moggio,45.91279097,9.49754261
12668,Arsenico,703,Schivenoglia v. Malpasso,MN,Schivenoglia,45.01688067,11.07609728
20155,PM10 (SM2005),690,Mezzana Bigli loc. Casoni,PV,Mezzana Bigli,45.06966728,8.86890217
10463,Ozono,1266,Bertonico v.Moro,LO,Bertonico,45.23349689,9.66625758
17159,Particelle sospese PM2.5,633,Soresina v. Landriani,CR,Soresina,45.28398,9.86340258
5676,Biossido di Zolfo,561,Como v.Cattaneo,CO,Como,45.81504217,9.06697886
9930,Ossidi di Azoto,677,Cremona Via Fatebenefratelli,CR,Cremona,45.14254358,10.04384767
10259,Benzene,569,Sondrio v.Mazzini,SO,Sondrio,46.16797103,9.87014581
5577,Biossido di Azoto,574,Lecco v. Amendola,LC,Lecco,45.85019631,9.39558125
6288,Ossidi di Azoto,551,Arconate v. De Gasperi,MI,Arconate,45.54852147,8.84732669
5610,Biossido di Azoto,607,Abbadia Cerreto v. Fanfulla,LO,Abbadia Cerreto,45.30950506,9.58580022
